Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,74.67,74.86,72.80,72.86,41346000,72.86
2015-01-14,72.87,73.91,71.70,73.80,52152500,73.80
2015-01-13,74.46,75.04,72.88,73.57,34051400,73.57
2015-01-12,75.39,75.39,73.76,74.16,28940600,74.16
2015-01-09,77.02,77.15,75.67,76.36,24952100,76.36
2015-01-08,75.89,77.15,75.58,76.97,28186900,76.97
2015-01-07,76.03,76.36,74.78,75.28,31192400,75.28
2015-01-06,76.11,76.73,74.59,75.12,41876600,75.12
2015-01-05,78.42,78.45,75.85,76.24,45395200,76.24
2015-01-02,78.73,79.79,78.38,79.53,27749100,79.53
2014-12-31,79.29,80.00,78.69,79.16,21541900,79.16
2014-12-30,80.30,80.47,79.51,79.76,19148100,79.76
2014-12-29,80.29,81.00,79.92,80.40,18224100,80.40
2014-12-26,80.44,80.81,79.76,80.11,14464600,80.11
2014-12-24,80.25,80.44,79.20,80.13,14047800,80.13
2014-12-23,80.33,80.99,79.76,80.72,26519500,80.72
2014-12-22,79.97,80.17,78.92,79.75,33238100,79.75
2014-12-19,78.96,80.67,78.09,80.57,46742800,80.57
2014-12-18,79.06,79.35,76.57,78.56,52121700,78.07
2014-12-17,74.43,77.83,74.29,77.08,62458400,76.60
2014-12-16,72.69,76.29,72.51,74.01,57284400,73.55
2014-12-15,74.63,75.33,73.20,73.36,47481100,72.91
2014-12-12,74.52,75.38,73.89,74.02,50054300,73.56
2014-12-11,75.37,77.34,75.25,75.42,35551700,74.95
2014-12-10,76.65,76.74,74.97,75.47,43917500,75.00
2014-12-09,76.86,78.19,76.60,77.87,33668900,77.39
2014-12-08,79.20,79.50,76.86,77.03,41192700,76.55
2014-12-05,81.07,81.31,79.96,80.28,23443300,79.78
2014-12-04,81.17,81.77,80.52,81.25,23523200,80.75
2014-12-03,81.49,82.61,81.21,81.96,31549200,81.45
2014-12-02,79.53,81.75,79.50,80.97,33186800,80.47
2014-12-01,79.39,80.35,78.67,80.10,51594500,79.61
2014-11-28,81.74,82.00,79.58,79.82,42538300,79.33
2014-11-26,85.99,86.21,85.15,85.30,20858300,84.77
2014-11-25,88.30,88.37,86.27,86.39,22554000,85.86
2014-11-24,88.21,88.69,87.44,87.82,16678100,87.28
2014-11-21,88.87,89.22,87.86,88.50,28685200,87.95
2014-11-20,86.45,87.49,86.22,87.36,16911000,86.82
2014-11-19,85.99,86.58,85.23,86.28,14746100,85.75
2014-11-18,85.73,86.54,85.42,85.83,19679900,85.30
2014-11-17,85.68,86.27,85.36,85.76,12215000,85.23
2014-11-14,85.76,86.31,85.18,86.21,17960500,85.68
2014-11-13,86.03,86.14,83.95,85.34,31586800,84.81
2014-11-12,86.71,87.61,86.39,86.49,17619200,85.96
2014-11-11,87.08,87.47,86.23,87.26,17377600,86.72
2014-11-10,88.55,88.96,86.74,87.00,22953400,86.46
2014-11-07,87.03,88.48,86.86,87.79,18042000,87.25
2014-11-06,85.21,86.85,84.93,86.83,23026300,86.29
2014-11-05,85.12,86.12,84.46,85.75,27445100,85.22
2014-11-04,85.00,85.05,83.53,84.27,23439100,83.75
2014-11-03,87.48,88.41,85.78,86.04,26605600,85.51
2014-10-31,85.86,87.52,85.06,87.42,20264300,86.88
2014-10-30,85.33,86.06,84.69,85.68,18788000,85.15
2014-10-29,86.65,87.37,85.17,85.99,26722500,85.46
2014-10-28,84.24,85.94,83.68,85.71,23278000,85.18
2014-10-27,84.24,84.29,82.94,83.80,23501400,83.28
2014-10-24,85.94,86.09,84.47,85.60,25247400,85.07
2014-10-23,85.52,86.81,85.07,85.90,26558000,85.37
2014-10-22,86.18,86.71,84.28,84.33,36142500,83.81
2014-10-21,84.37,86.15,84.34,85.96,31358200,85.43
2014-10-20,82.63,83.67,82.22,83.42,26502600,82.90
2014-10-17,83.51,85.90,82.00,82.70,38000000,82.19
2014-10-16,78.83,82.82,78.50,82.00,59796300,81.49
2014-10-15,78.91,80.77,77.51,80.56,69469600,80.06
2014-10-14,81.65,82.29,79.52,79.95,55995600,79.46
2014-10-13,83.37,84.39,80.86,80.97,47549300,80.47
2014-10-10,84.49,85.41,82.64,83.55,60474300,83.03
2014-10-09,87.30,87.45,84.50,84.74,36667400,84.22
2014-10-08,86.87,88.05,85.47,87.97,35988600,87.43
2014-10-07,87.80,88.93,87.09,87.12,17899300,86.58
2014-10-06,88.62,89.17,87.62,88.27,20122200,87.73
2014-10-03,88.75,88.80,87.42,88.17,20098000,87.63
2014-10-02,88.25,88.89,86.78,88.31,29242700,87.76
2014-10-01,90.61,91.06,88.49,88.77,18977300,88.22
2014-09-30,91.68,91.90,90.06,90.62,21732100,90.06
2014-09-29,90.81,91.94,90.59,91.77,15454300,91.20
2014-09-26,90.82,92.37,90.50,91.98,11484800,91.41
2014-09-25,92.17,92.21,90.76,90.81,13436400,90.25
2014-09-24,92.08,92.75,90.76,92.22,24739900,91.65
2014-09-23,92.27,93.06,92.12,92.14,9140100,91.57
2014-09-22,93.64,93.69,92.05,92.41,10629600,91.84
2014-09-19,94.06,94.49,93.75,93.79,9474600,93.21
2014-09-18,95.15,95.20,94.10,94.35,12284600,93.29
2014-09-17,95.59,95.77,94.56,94.84,11069300,93.77
2014-09-16,94.09,95.96,93.95,95.36,13455400,94.29
2014-09-15,93.46,94.47,92.99,94.22,13391300,93.16
2014-09-12,94.70,94.79,93.27,93.56,15440200,92.51
2014-09-11,94.16,95.12,93.76,94.98,12505700,93.91
2014-09-10,95.06,95.06,93.81,94.92,10432700,93.85
2014-09-09,95.52,96.11,94.59,95.15,9998300,94.08
2014-09-08,96.60,96.68,95.13,95.57,10978100,94.49
2014-09-05,96.48,97.11,95.82,97.08,8774900,95.99
2014-09-04,97.98,98.02,95.98,96.43,12286500,95.34
2014-09-03,98.14,98.44,97.69,97.75,7190900,96.65
2014-09-02,98.60,98.69,97.07,97.49,8642300,96.39
2014-08-29,98.41,98.79,98.06,98.74,5367400,97.63
2014-08-28,97.87,98.29,97.71,98.19,3104500,97.08
2014-08-27,98.46,98.57,97.91,98.17,3860100,97.06
2014-08-26,98.15,98.87,97.96,98.37,5596500,97.26
2014-08-25,97.28,97.94,97.25,97.87,4379000,96.77
2014-08-22,97.52,97.52,96.61,97.01,7383400,95.92
2014-08-21,97.71,97.76,97.22,97.66,5567200,96.56
2014-08-20,97.25,97.71,96.85,97.58,5947900,96.48
2014-08-19,96.83,97.55,96.76,97.37,5997700,96.27
2014-08-18,96.72,96.92,96.22,96.63,8597500,95.54
2014-08-15,95.85,96.51,95.60,96.37,11075300,95.28
2014-08-14,96.35,96.50,95.52,95.66,7617400,94.58
2014-08-13,96.42,96.73,95.86,96.21,6489000,95.13
2014-08-12,96.47,96.47,95.50,95.90,9998100,94.82
2014-08-11,97.23,97.58,96.54,96.61,11203600,95.52
2014-08-08,95.30,96.70,95.07,96.60,11585000,95.51
2014-08-07,96.10,96.27,94.49,95.01,13256700,93.94
2014-08-06,95.13,96.72,94.96,95.61,11547000,94.53
2014-08-05,97.05,97.25,94.77,95.33,16439900,94.26
2014-08-04,95.83,97.70,95.54,97.46,12896500,96.36
2014-08-01,96.36,96.67,95.02,95.85,17833300,94.77
2014-07-31,98.13,98.18,96.56,96.63,17284800,95.54
2014-07-30,99.82,100.13,98.44,98.76,10780300,97.65
2014-07-29,99.42,99.92,99.30,99.35,6828800,98.23
2014-07-28,99.76,99.93,98.99,99.60,7478600,98.48
2014-07-25,100.22,100.31,99.71,99.84,4802900,98.72
2014-07-24,100.65,100.97,100.24,100.58,5747200,99.45
2014-07-23,100.10,100.50,99.67,100.49,6701200,99.36
2014-07-22,99.58,100.16,99.48,99.85,5977900,98.73
2014-07-21,98.74,99.21,98.59,99.14,9396700,98.02
2014-07-18,98.95,99.24,98.50,98.99,8317800,97.88
2014-07-17,100.24,100.55,98.63,98.70,11017800,97.59
2014-07-16,99.23,100.36,99.20,100.32,8167400,99.19
2014-07-15,98.98,99.23,98.18,98.82,9954200,97.71
2014-07-14,98.88,99.37,98.74,99.25,6870300,98.13
2014-07-11,99.04,99.06,98.14,98.40,10805200,97.29
2014-07-10,99.21,99.53,98.65,99.16,14908700,98.04
2014-07-09,99.62,100.18,99.46,100.12,6408000,98.99
2014-07-08,99.47,99.71,99.07,99.46,10392300,98.34
2014-07-07,100.29,100.30,99.44,99.62,6932400,98.50
